STORER,LOT,ITEMNUMBER,STORERLOT,DOCUMENTNUMBER,STARTDATE,STARTTIME,COMPLETIONDATE,COMPLETIONTIME,COMPLETEDBY,PALLET,DOCUMENTDESCRIPTION,REASON,FULLDESCRIPTION,CUSTOMERNAME,FROMTO,QUANTITY,INNERPACK,CREATEDATE,CREATETIME,UMIID,CASES
"001861","0905576   ","5757011                  ","849161              ","0318546   ","2023-10-06","08.29.58","2023-10-06","08.29.58","justinaf  ","0905576-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.29.58",0      ,1.00       
"001861","0905575   ","5757011                  ","849152              ","0318546   ","2023-10-06","08.30.11","2023-10-06","08.30.11","justinaf  ","0905575-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.30.11",0      ,1.00       
"001861","0905571   ","5757011                  ","838361              ","0318546   ","2023-10-06","08.30.23","2023-10-06","08.30.23","justinaf  ","0905571-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.30.23",0      ,1.00       
"001861","0905545   ","5757011                  ","849251              ","0318546   ","2023-10-06","08.30.39","2023-10-06","08.30.39","justinaf  ","0905545-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.30.39",0      ,1.00       
"001859","0889628   ","SNK534                   ","3086                ","0318674   ","2023-10-06","08.28.54","2023-10-06","08.30.42","LORENZO   ","0889628-04  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack Chocolate Chip and Oatmeal 5 Waffles 0.63 oz Eac    ","Sprout Foods, Inc             ","From: D042       To:           ",-5       ,1      ,"2023-10-06","08.28.54",1      ,1.00       
"001859","0907474   ","HFS875                   ","3110                ","0998360   ","2023-10-06","08.31.06","2023-10-06","08.31.10","CARLOS    ","0907474-02  ","Move                          ",,"Sprout Organics CoComelon Yes Yes More Veggies 8+ Months 3.5 oz                                     ","Sprout Foods, Inc             ","From: A018       To: A037      ",106      ,2      ,"2023-10-06","08.31.10",0      ,-53.00     
"010103","0943025   ","MST000163                ","4545814393          ","0318959   ","2023-10-06","08.31.20","2023-10-06","08.31.20","cynthias  ","0943025-01  ","Pick                          ",,"TOE GUARD                                                                                           ","KONE-MOD                      ","From: AA03C01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.20",0      ,1.00       
"010103","0941436   ","MST00096                 ","4548542819          ","0318959   ","2023-10-06","08.31.21","2023-10-06","08.31.21","cynthias  ","0941436-01  ","Pick                          ",,"SPARES TUBES                                                                                        ","KONE-MOD                      ","From: AA09B01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.21",0      ,1.00       
"010103","0941474   ","MST00095                 ","4548542819          ","0318959   ","2023-10-06","08.31.21","2023-10-06","08.31.21","cynthias  ","0941474-01  ","Pick                          ",,"SPARES                                                                                              ","KONE-MOD                      ","From: A011B01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.21",0      ,1.00       
"010103","0934126   ","80106484                 ","4545818936          ","0318959   ","2023-10-06","08.31.21","2023-10-06","08.31.21","cynthias  ","0933690-01  ","Pick                          ",,"BOX, ELEVATOR PARTS                                                                                 ","KONE-MOD                      ","From: A011C01    To: *PICK     ",-1       ,1      ,"2023-10-06","08.31.21",0      ,1.00       
